Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Ignition Code,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Kinetic,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,72,28,64,64,71,75,1,2,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",7.7999,Grenade Launcher 7.7999439452289,Grenade Launcher Lightweight 7.7999439452289,Ignition Code,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Grenade Launcher Kinetic Special
Doomsday,Grenade Launcher,Adaptive,Grenade Launcher Adaptive,Arc,Heavy,16543,-,120,-,-,-,-,1,0%,0,1,0.50,-,1,-,1.10,1.00,-,-,-,-,-,-,-,-,20,45,53,55,54,54,78,6,0,13,"""A well-rounded grip, reliable and sturdy."" ",-,Grenade Launcher -,Grenade Launcher Adaptive -,Doomsday,,,,,,,,FALSE,TRUE,FALSE,
Double-Edged Answer,Sword,Adaptive,Sword Adaptive,Void,Heavy,17272,-,-,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,0.95,-,-,-,-,-,-,-,-,60,60,0,0,20,10,60,58,0,46,"""[Heavy Attack] : Launch a heavy uppercut attack. Heavy attacks are stronger with full energy."" ",-,Sword -,Sword Adaptive -,Double-Edged Answer,,,,,,,,FALSE,TRUE,FALSE,
Lingering Dread,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Stasis,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,73,24,70,70,75,63,1,3,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",7.3976,Grenade Launcher 7.3975671762771,Grenade Launcher Lightweight 7.3975671762771,Lingering Dread,0.9,1.00,0.95,1.00,0.90,1.00,1.00,FALSE,FALSE,FALSE,Grenade Launcher Stasis Special
Orewing's Maul,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Void,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,74,23,66,71,73,80,1,2,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",7.7879,Grenade Launcher 7.78794529407216,Grenade Launcher Lightweight 7.78794529407216,Orewing's Maul,1,1.00,0.95,1.00,1.00,1.00,0.90,FALSE,FALSE,FALSE,Grenade Launcher Void Special
Dreaded Venture,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Kinetic,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,1.05,1.05,-,-,-,-,-,-,-,-,90,74,35,31,39,49,76,3,0,45,"""High damage, high recoil."" ",-,Sniper Rifle -,Sniper Rifle Aggressive -,Dreaded Venture,,,,,,,,FALSE,TRUE,FALSE,
Pardon Our Dust,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Kinetic,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,73,28,68,69,75,77,1,2,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",8.3870,Grenade Launcher 8.38698937682922,Grenade Launcher Lightweight 8.38698937682922,Pardon Our Dust,1.05,1.00,1.05,1.00,1.05,1.00,1.05,TRUE,FALSE,FALSE,Grenade Launcher Kinetic Special
Salvager's Salvo,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Arc,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,70,26,70,70,70,75,1,2,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",7.8204,Grenade Launcher 7.82043944523309,Grenade Launcher Lightweight 7.82043944523309,Salvager's Salvo,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Grenade Launcher Arc Special
Duke Mk. 44,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,0.95,0.95,14.00,0.00,1.375,1.375,16.000,0.115,23.82,32.75,92,68,36,37,37,64,90,9,0,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",-,Hand Cannon -,Hand Cannon Aggressive -,Duke Mk. 44,,,,,,,,FALSE,TRUE,FALSE,
Dust Rock Blues,Shotgun,Precision,Shotgun Precision,Kinetic,Special,9230,1.00,64,-,20,-,-,10,0%,-,10,-,0.93,2,-,1.00,1.00,12.00,0.00,-,-,-,-,-,-,70,69,51,41,47,75,64,6,0,12,"""This weapon's recoil pattern is more predictably vertical."" ",-,Shotgun -,Shotgun Precision -,Dust Rock Blues,,,,,,,,FALSE,TRUE,FALSE,
The Militia's Birthright,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Kinetic,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,72,23,69,63,75,62,1,4,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",8.5525,Grenade Launcher 8.55246083656648,Grenade Launcher Lightweight 8.55246083656648,The Militia's Birthright,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Grenade Launcher Kinetic Special
Truthteller,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Void,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,74,18,69,71,79,70,1,2,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",7.6288,Grenade Launcher 7.62884209342397,Grenade Launcher Lightweight 7.62884209342397,Truthteller,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Grenade Launcher Void Special
Parasite,Grenade Launcher,Parasite,Grenade Launcher Parasite,Solar,Heavy,22720,-,120,-,-,-,-,1,0%,0,1,0.50,-,1,-,-,-,-,-,-,-,-,-,0,0,100,0,53,47,44,68,77,1,11,13,See Exotic box below for more information,-,Grenade Launcher -,Grenade Launcher Parasite -,Parasite,,,,,,,,FALSE,FALSE,TRUE,Grenade Launcher Solar Heavy
Berenger's Memory,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Void,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,-,-,-,-,-,-,-,-,0,0,20,48,24,16,21,30,70,5,6,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.2820,Grenade Launcher 6.2819509074499,Grenade Launcher Rapid-Fire 6.2819509074499,Berenger's Memory,0.81,0.90,0.95,0.90,0.90,0.90,1.00,FALSE,FALSE,FALSE,Grenade Launcher Void Heavy
Edge Transit,Grenade Launcher,Adaptive,Grenade Launcher Adaptive,Void,Heavy,16543,-,120,-,-,-,-,1,0%,0,1,0.50,-,1,-,1.10,1.00,-,-,-,-,-,-,-,-,30,39,48,48,45,62,70,6,0,13,"""A well-rounded grip, reliable and sturdy."" ",-,Grenade Launcher -,Grenade Launcher Adaptive -,Edge Transit,,,,,,,,FALSE,TRUE,FALSE,
Edgewise,Machine Gun,Rapid-Fire,Machine Gun Rapid-Fire,Solar,Heavy,8818,1.00,900,24,18,1.34,0.53,9,67%,6,3,-,0.67,11,-,0.90,1.00,16.00,0.00,1.575,1.575,10.050,0.107,14.01,22.06,25,37,56,42,73,68,50,73,0,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Machine Gun -,Machine Gun Rapid-Fire -,Edgewise,,,,,,,,FALSE,TRUE,FALSE,
Elatha FR4,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Solar,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,0.95,0.95,15.00,0.00,1.300,1.3,8.200,0.036,10.14,13.19,95,54,32,29,24,58,62,5,0,15,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Fusion Rifle -,Fusion Rifle High-Impact -,Elatha FR4,,,,,,,,FALSE,TRUE,FALSE,
Elegy-49,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Void,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,1.05,1.05,-,-,-,-,-,-,-,-,70,46,46,46,46,60,60,4,0,40,"""A well-rounded grip, reliable and sturdy."" ",-,Sniper Rifle -,Sniper Rifle Adaptive -,Elegy-49,,,,,,,,FALSE,TRUE,FALSE,
Emperor's Courtesy,Shotgun,Lightweight,Shotgun Lightweight,Arc,Special,11715,1.00,78,-,19,-,-,11,0%,-,11,-,0.77,2,-,1.10,1.05,12.00,0.00,-,-,-,-,-,-,70,53,47,72,64,50,60,6,0,12,"""Superb handling. Move faster with this weapon equipped."" ",-,Shotgun -,Shotgun Lightweight -,Emperor's Courtesy,,,,,,,,FALSE,TRUE,FALSE,
Canis Major,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Solar,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,-,-,-,-,-,-,-,-,0,0,20,52,24,28,30,30,69,5,6,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",7.7091,Grenade Launcher 7.70912878678653,Grenade Launcher Rapid-Fire 7.70912878678653,Canis Major,0.9,0.90,1.00,0.90,1.00,0.90,1.00,FALSE,FALSE,FALSE,Grenade Launcher Solar Heavy
Love and Death,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Solar,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,-,-,-,-,-,-,-,-,0,0,20,50,21,18,25,29,50,5,6,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.1886,Grenade Launcher 6.1886319641281,Grenade Launcher Rapid-Fire 6.1886319641281,Love and Death,0.81,0.90,0.95,0.90,0.90,0.90,1.00,FALSE,FALSE,FALSE,Grenade Launcher Solar Heavy
Outrageous Fortune,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Solar,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,-,-,-,-,-,-,-,-,0,0,20,50,29,25,20,30,57,5,6,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.6851,Grenade Launcher 6.68513583783833,Grenade Launcher Rapid-Fire 6.68513583783833,Outrageous Fortune,0.81,0.90,0.90,0.90,0.90,0.90,0.90,FALSE,FALSE,FALSE,Grenade Launcher Solar Heavy
Swarm of the Raven,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Void,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,-,-,-,-,-,-,-,-,0,0,20,49,21,18,21,27,63,5,6,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.1339,Grenade Launcher 6.13389398286393,Grenade Launcher Rapid-Fire 6.13389398286393,Swarm of the Raven,0.81,0.90,0.90,0.90,0.90,0.90,0.90,FALSE,FALSE,FALSE,Grenade Launcher Void Heavy
Erentil FR4,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Void,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,0.95,0.95,15.00,0.60,1.300,1.9,8.200,0.036,10.14,19.27,95,54,22,18,20,65,60,5,4,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Fusion Rifle -,Fusion Rifle High-Impact -,Erentil FR4,,,,,,,,FALSE,TRUE,FALSE,
Tarnation,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Arc,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,-,-,-,-,-,-,-,-,0,0,20,53,23,21,24,29,63,5,7,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",7.7710,Grenade Launcher 7.77100905393936,Grenade Launcher Rapid-Fire 7.77100905393936,Tarnation,0.945,0.90,1.05,0.90,1.05,0.90,1.05,TRUE,FALSE,FALSE,Grenade Launcher Arc Heavy
Salvation's Grip,Grenade Launcher,Salvation's Grip,Grenade Launcher Salvation's Grip,Stasis,Heavy,16543,-,120,-,-,-,-,1,0%,0,1,0.50,-,1,-,-,-,-,-,-,-,-,-,0,0,55,37,36,57,55,68,63,8,19,13,See Exotic box below for more information,-,Grenade Launcher -,Grenade Launcher Salvation's Grip -,Salvation's Grip,,,,,,,,FALSE,FALSE,TRUE,Grenade Launcher Stasis Heavy
The Colony,Grenade Launcher,The Colony,Grenade Launcher The Colony,Void,Heavy,14050,-,140,-,-,-,-,1,0%,0,1,0.43,-,1,-,-,-,-,-,-,-,-,-,0,0,35,35,90,85,70,60,80,7,24,13,See Exotic box below for more information,-,Grenade Launcher -,Grenade Launcher The Colony -,The Colony,,,,,,,,FALSE,FALSE,TRUE,Grenade Launcher Void Heavy
The Prospector,Grenade Launcher,The Prospector,Grenade Launcher The Prospector,Solar,Heavy,20529,-,165,-,-,-,-,1,0%,0,1,0.37,-,1,-,-,-,-,-,-,-,-,-,0,0,25,55,45,45,5,60,75,7,15,13,See Exotic box below for more information,-,Grenade Launcher -,Grenade Launcher The Prospector -,The Prospector,,,,,,,,FALSE,FALSE,TRUE,Grenade Launcher Solar Heavy
Ether Doctor,Auto Rifle,Adaptive,Auto Rifle Adaptive,Kinetic,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.10,1.10,17.00,-0.10,1.575,1.475,10.800,0.107,14.87,21.93,21,38,40,61,52,61,47,43,0,16,"""A well-rounded grip, reliable and sturdy."" ",-,Auto Rifle -,Auto Rifle Adaptive -,Ether Doctor,,,,,,,,FALSE,TRUE,FALSE,
Deafening Whisper,Grenade Launcher,Wave,Grenade Launcher Wave,Void,Special,6241,-,72,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,64,38,72,70,63,81,1,2,13,"""One-shot handheld Grenade Launcher. Projectiles release a wave of energy when they contact the ground."" ",6.6500,Grenade Launcher 6.64997716816239,Grenade Launcher Wave 6.64997716816239,Deafening Whisper,0.81,1.00,0.95,0.90,0.90,1.00,1.00,FALSE,FALSE,FALSE,Grenade Launcher Void Special
Explosive Personality,Grenade Launcher,Wave,Grenade Launcher Wave,Solar,Special,6241,-,72,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,72,23,68,68,67,71,1,1,13,"""One-shot handheld Grenade Launcher. Projectiles release a wave of energy when they contact the ground."" ",6.7623,Grenade Launcher 6.76234387385073,Grenade Launcher Wave 6.76234387385073,Explosive Personality,0.945,1.00,1.05,0.90,1.05,1.00,1.05,TRUE,FALSE,FALSE,Grenade Launcher Solar Special
Exit Strategy,Submachine Gun,Adaptive,Submachine Gun Adaptive,Kinetic,Primary,4300,1.00,900,16,11,1.44,0.73,12,100%,12,0,-,1.13,18,-,1.00,1.00,14.00,0.00,1.275,1.275,6.300,0.126,11.72,14.94,20,43,48,55,56,47,97,33,0,14,"""A well-rounded grip, reliable and sturdy."" ",-,Submachine Gun -,Submachine Gun Adaptive -,Exit Strategy,,,,,,,,FALSE,TRUE,FALSE,
Forbearance,Grenade Launcher,Wave,Grenade Launcher Wave,Arc,Special,6241,-,72,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,74,27,70,71,79,73,1,4,13,"""One-shot handheld Grenade Launcher. Projectiles release a wave of energy when they contact the ground."" ",8.7538,Grenade Launcher 8.75378720055132,Grenade Launcher Wave 8.75378720055132,Forbearance,0.945,1.00,1.05,0.90,1.05,1.00,1.05,TRUE,FALSE,FALSE,Grenade Launcher Arc Special
Witherhoard,Grenade Launcher,Witherhoard,Grenade Launcher Witherhoard,Kinetic,Special,3601,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,0,21,67,53,40,84,96,6,6,12,See Exotic box below for more information,-,Grenade Launcher -,Grenade Launcher Witherhoard -,Witherhoard,,,,,,,,FALSE,FALSE,TRUE,Grenade Launcher Kinetic Special
Ace of Spades,Hand Cannon,Ace of Spades,Hand Cannon Ace of Spades,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,24.16,33.22,84,85,50,50,42,70,100,13,14,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Ace of Spades -,Ace of Spades,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Ancient Gospel,Hand Cannon,Adaptive,Hand Cannon Adaptive,Solar,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,19.94,27.41,84,41,58,46,43,74,100,11,10,14,"""A well-rounded grip, reliable and sturdy."" ",9.7211,Hand Cannon 9.72112854830293,Hand Cannon Adaptive 9.72112854830293,Ancient Gospel,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Solar Primary
Annual Skate,Hand Cannon,Adaptive,Hand Cannon Adaptive,Arc,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,19.84,27.28,84,40,49,47,38,75,88,10,10,14,"""A well-rounded grip, reliable and sturdy."" ",8.4316,Hand Cannon 8.43162009752929,Hand Cannon Adaptive 8.43162009752929,Annual Skate,1.035,1.15,0.95,1.15,0.90,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
Eystein-D,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Kinetic,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.10,0.90,18.00,0.00,1.675,1.675,16.000,0.080,21.28,35.64,33,66,50,31,39,31,72,27,0,18,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Pulse Rifle -,Pulse Rifle High-Impact -,Eystein-D,,,,,,,,FALSE,TRUE,FALSE,
Austringer,Hand Cannon,Adaptive,Hand Cannon Adaptive,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.42,28.07,84,46,59,47,46,75,95,11,13,14,"""A well-rounded grip, reliable and sturdy."" ",10.7591,Hand Cannon 10.7591237166211,Hand Cannon Adaptive 10.7591237166211,Austringer,1.2075,1.15,1.05,1.15,1.05,1.15,1.05,TRUE,FALSE,FALSE,Hand Cannon Kinetic Primary
Cantata-57,Hand Cannon,Adaptive,Hand Cannon Adaptive,Arc,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.42,28.07,84,46,51,52,45,82,85,11,12,14,"""A well-rounded grip, reliable and sturdy."" ",10.1000,Hand Cannon 10.1000109978595,Hand Cannon Adaptive 10.1000109978595,Cantata-57,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
Crisis Inverted,Hand Cannon,Adaptive,Hand Cannon Adaptive,Arc,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,19.84,27.28,84,40,50,55,60,83,92,10,17,14,"""A well-rounded grip, reliable and sturdy."" ",10.7340,Hand Cannon 10.7340280381209,Hand Cannon Adaptive 10.7340280381209,Crisis Inverted,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
D.F.A.,Hand Cannon,Adaptive,Hand Cannon Adaptive,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.32,27.94,84,45,54,42,47,77,88,9,18,14,"""A well-rounded grip, reliable and sturdy."" ",10.4823,Hand Cannon 10.4823280208572,Hand Cannon Adaptive 10.4823280208572,D.F.A.,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Fate Cries Foul,Sniper Rifle,Adaptive,Sniper Rifle Adaptive,Void,Special,8725,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,1.05,1.05,-,-,-,-,-,-,-,-,70,48,47,47,44,60,48,4,0,40,"""A well-rounded grip, reliable and sturdy."" ",-,Sniper Rifle -,Sniper Rifle Adaptive -,Fate Cries Foul,,,,,,,,FALSE,TRUE,FALSE,
Dire Promise,Hand Cannon,Adaptive,Hand Cannon Adaptive,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.03,27.54,84,42,47,57,49,83,84,11,10,14,"""A well-rounded grip, reliable and sturdy."" ",9.8623,Hand Cannon 9.86229719668881,Hand Cannon Adaptive 9.86229719668881,Dire Promise,1.15,1.15,0.95,1.15,1.00,1.15,0.90,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Eyasluna,Hand Cannon,Adaptive,Hand Cannon Adaptive,Stasis,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.90,28.73,84,51,64,49,45,80,96,11,10,14,"""A well-rounded grip, reliable and sturdy."" ",10.3302,Hand Cannon 10.3301800709032,Hand Cannon Adaptive 10.3301800709032,Eyasluna,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Stasis Primary
Fatebringer,Hand Cannon,Adaptive,Hand Cannon Adaptive,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.42,28.07,84,46,57,55,46,84,98,10,10,14,"""A well-rounded grip, reliable and sturdy."" ",10.2404,Hand Cannon 10.2403929859623,Hand Cannon Adaptive 10.2403929859623,Fatebringer,1.15,1.15,1.05,1.15,1.00,1.15,1.10,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Finite Impactor,Hand Cannon,Adaptive,Hand Cannon Adaptive,Arc,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,19.46,26.75,84,36,46,45,40,74,99,10,16,14,"""A well-rounded grip, reliable and sturdy."" ",8.8403,Hand Cannon 8.84029308859123,Hand Cannon Adaptive 8.84029308859123,Finite Impactor,1.035,1.15,0.90,1.15,0.90,1.15,0.90,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
Judgment,Hand Cannon,Adaptive,Hand Cannon Adaptive,Arc,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.22,27.81,84,44,42,42,40,75,95,9,10,14,"""A well-rounded grip, reliable and sturdy."" ",9.3080,Hand Cannon 9.30800564862915,Hand Cannon Adaptive 9.30800564862915,Judgment,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
Nation of Beasts,Hand Cannon,Adaptive,Hand Cannon Adaptive,Arc,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,19.84,27.28,84,40,57,42,45,71,95,10,10,14,"""A well-rounded grip, reliable and sturdy."" ",9.5233,Hand Cannon 9.52327729507079,Hand Cannon Adaptive 9.52327729507079,Nation of Beasts,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
The Palindrome,Hand Cannon,Adaptive,Hand Cannon Adaptive,Void,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.80,28.60,84,50,58,50,42,79,98,10,21,14,"""A well-rounded grip, reliable and sturdy."" ",11.2446,Hand Cannon 11.24462147612,Hand Cannon Adaptive 11.24462147612,The Palindrome,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Void Primary
Waking Vigil,Hand Cannon,Adaptive,Hand Cannon Adaptive,Arc,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,19.55,26.88,84,37,43,63,56,82,98,12,10,14,"""A well-rounded grip, reliable and sturdy."" ",9.9386,Hand Cannon 9.93862828919573,Hand Cannon Adaptive 9.93862828919573,Waking Vigil,1.15,1.15,1.00,1.15,1.00,1.15,1.00,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
Zaouli's Bane,Hand Cannon,Adaptive,Hand Cannon Adaptive,Solar,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.13,27.68,84,43,52,46,43,77,89,10,19,14,"""A well-rounded grip, reliable and sturdy."" ",11.5670,Hand Cannon 11.567036719668,Hand Cannon Adaptive 11.567036719668,Zaouli's Bane,1.265,1.15,1.10,1.15,1.10,1.15,1.10,TRUE,FALSE,FALSE,Hand Cannon Solar Primary
Bottom Dollar,Hand Cannon,Aggressive,Hand Cannon Aggressive,Void,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,22.90,31.49,92,60,28,31,25,66,85,8,10,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",8.9817,Hand Cannon 8.98166088652624,Hand Cannon Aggressive 8.98166088652624,Bottom Dollar,1,0.95,1.00,1.00,1.00,0.95,1.00,FALSE,FALSE,FALSE,Hand Cannon Void Primary
Crimil's Dagger,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,22.90,31.49,92,60,23,23,24,67,98,8,10,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",8.5730,Hand Cannon 8.57295964496292,Hand Cannon Aggressive 8.57295964496292,Crimil's Dagger,1,0.95,1.00,1.00,1.00,0.95,1.00,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
